Ad-Hoc Wireless Network in Chain Topologies - 15 Nodes, 3 Channels, 3 Interfaces
begin to add channel
begin to create nodes
created nodes
num_nodes is set 45
channel.cc:sendUp - Calc highestAntennaZ_ and distCST_
highestAntennaZ_ = 1.5,  distCST_ = 550.0
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 14, target is: -1, ttl: 1
now the address source is: 0, target is: -1, ttl: 3
now the address source is: 0, target is: -1, ttl: 3
now the address source is: 0, target is: -1, ttl: 3
now the address source is: 0, target is: -1, ttl: 3
now the address source is: 0, target is: -1, ttl: 3
now the address source is: 0, target is: -1, ttl: 3
now the address source is: 0, target is: -1, ttl: 3
now the address source is: 0, target is: -1, ttl: 3
now the address source is: 0, target is: -1, ttl: 3
